,true,pred,corr
273,6,6,True
274,4,4,True
275,6,6,True
276,8,0,False
277,7,4,False
278,5,5,True
279,4,3,False
280,3,5,False
281,2,2,True
282,1,0,False
283,6,6,True
284,1,1,True
285,7,5,False
286,7,7,True
287,4,4,True
288,4,4,True
289,0,0,True
290,5,1,False
291,4,4,True
292,1,1,True
293,7,7,True
294,4,2,False
295,0,0,True
296,8,8,True
297,4,4,True
298,8,8,True
299,2,2,True
300,4,4,True
301,4,5,False
302,2,2,True
303,7,2,False
304,1,1,True
305,7,6,False
306,7,7,True
307,0,0,True
308,1,1,True
309,1,1,True
310,3,3,True
311,2,4,False
312,2,2,True
313,6,6,True
314,3,5,False
315,4,6,False
316,5,5,True
317,6,6,True
318,3,3,True
319,3,3,True
320,0,7,False
321,5,5,True
322,4,5,False
323,1,1,True
324,4,4,True
325,6,6,True
326,6,6,True
327,9,1,False
328,0,6,False
329,5,5,True
330,1,1,True
331,2,2,True
332,9,9,True
333,5,2,False
334,9,9,True
335,8,8,True
336,7,7,True
337,7,6,False
338,9,9,True
339,4,3,False
340,4,4,True
341,5,5,True
342,2,6,False
343,2,2,True
344,6,5,False
345,8,8,True
346,3,3,True
347,1,1,True
348,9,9,True
349,0,8,False
350,8,8,True
351,3,5,False
352,1,1,True
353,3,3,True
354,7,7,True
355,1,0,False
356,2,2,True
357,2,2,True
358,6,6,True
359,3,5,False
360,8,8,True
361,9,5,False
362,7,4,False
363,5,5,True
364,8,0,False
365,2,0,False
366,4,7,False
367,2,6,False
368,6,6,True
369,4,4,True
370,7,7,True
371,6,3,False
372,3,5,False
373,4,2,False
374,7,5,False
375,4,4,True
376,4,2,False
377,6,6,True
378,7,7,True
379,8,6,False
380,5,4,False
381,8,8,True
382,4,2,False
383,0,7,False
384,5,5,True
385,6,6,True
386,8,8,True
387,0,0,True
388,3,0,False
389,4,4,True
390,7,7,True
391,3,3,True
392,8,8,True
393,6,6,True
394,5,4,False
395,4,4,True
396,0,8,False
397,9,9,True
398,6,6,True
399,5,1,False
400,3,5,False
401,0,0,True
402,3,3,True
403,8,8,True
404,2,2,True
405,2,2,True
406,1,1,True
407,9,6,False
408,8,8,True
409,7,7,True
410,1,1,True
411,7,7,True
412,7,9,False
413,0,2,False
414,1,0,False
415,2,5,False
416,6,6,True
417,2,2,True
418,1,1,True
419,5,5,True
420,4,2,False
421,9,9,True
422,0,8,False
423,9,9,True
424,8,8,True
425,3,3,True
426,4,4,True
427,5,5,True
428,7,7,True
429,3,3,True
430,1,1,True
431,5,3,False
432,8,8,True
433,6,6,True
434,5,5,True
435,6,6,True
436,2,2,True
437,3,5,False
438,2,6,False
439,6,6,True
440,7,7,True
441,0,0,True
442,5,5,True
443,6,2,False
444,7,5,False
445,4,2,False
446,0,0,True
447,3,6,False
448,3,2,False
449,0,0,True
450,9,9,True
451,2,2,True
452,5,5,True
453,9,9,True
454,4,9,False
455,9,0,False
456,9,9,True
457,2,2,True
458,4,4,True
459,8,8,True
460,2,2,True
461,5,6,False
462,8,4,False
463,4,0,False
464,4,4,True
465,6,5,False
466,5,5,True
467,7,7,True
468,7,7,True
469,0,0,True
470,1,1,True
471,6,6,True
472,2,3,False
473,1,1,True
474,4,4,True
475,8,5,False
476,6,6,True
477,5,5,True
478,4,3,False
479,9,1,False
480,6,2,False
481,1,1,True
482,3,3,True
483,8,8,True
484,5,7,False
485,0,8,False
486,2,2,True
487,0,0,True
488,9,9,True
489,2,2,True
490,0,8,False
491,9,1,False
492,3,3,True
493,7,6,False
494,3,8,False
495,5,3,False
496,8,2,False
497,0,8,False
498,2,2,True
499,8,3,False
500,7,3,False
501,7,7,True
502,0,4,False
503,3,5,False
504,4,4,True
505,5,5,True
506,0,8,False
507,0,6,False
508,7,7,True
509,1,1,True
510,8,0,False
511,4,4,True
512,3,0,False
513,3,3,True
514,4,2,False
515,1,9,False
516,8,8,True
517,0,0,True
518,0,0,True
519,4,4,True
520,0,8,False
521,9,9,True
522,3,3,True
523,7,4,False
524,3,5,False
525,9,1,False
526,4,4,True
527,3,3,True
528,5,2,False
529,9,9,True
530,3,5,False
531,2,6,False
532,7,7,True
533,9,9,True
534,7,2,False
535,6,6,True
536,7,7,True
537,2,2,True
538,6,6,True
539,2,7,False
540,1,9,False
541,4,2,False
542,4,4,True
543,2,3,False
544,2,6,False
545,1,1,True
546,6,6,True
547,0,8,False
548,7,0,False
549,0,3,False
550,6,3,False
551,8,8,True
552,8,1,False
553,0,0,True
554,9,9,True
555,7,7,True
556,6,2,False
557,9,9,True
558,1,1,True
559,0,0,True
560,3,0,False
561,0,3,False
562,5,5,True
563,8,1,False
564,3,9,False
565,6,6,True
566,3,4,False
567,2,5,False
568,0,8,False
569,5,3,False
570,9,1,False
571,6,6,True
572,5,6,False
573,1,1,True
574,8,8,True
575,3,4,False
576,8,8,True
577,5,5,True
578,7,5,False
579,8,8,True
580,2,2,True
581,9,9,True
582,1,1,True
583,6,2,False
584,8,5,False
585,5,5,True
586,8,8,True
587,1,9,False
588,1,0,False
589,4,8,False
590,7,7,True
591,9,9,True
592,0,2,False
593,9,9,True
594,6,6,True
595,1,8,False
596,8,0,False
597,0,2,False
598,1,9,False
599,0,0,True
600,6,9,False
601,2,2,True
602,2,2,True
603,1,1,True
604,2,5,False
605,0,8,False
606,7,5,False
607,4,4,True
608,4,4,True
609,1,9,False
610,6,6,True
611,8,8,True
612,9,9,True
613,3,5,False
614,0,0,True
615,0,0,True
616,6,6,True
617,7,3,False
618,2,2,True
619,4,2,False
620,4,5,False
621,6,6,True
622,7,7,True
623,1,1,True
624,4,4,True
625,4,2,False
626,1,1,True
627,0,2,False
628,4,3,False
629,7,4,False
630,0,0,True
631,8,1,False
632,5,5,True
633,9,9,True
634,8,0,False
635,8,0,False
636,1,1,True
637,7,7,True
638,9,1,False
639,6,4,False
640,3,9,False
641,3,4,False
642,0,0,True
643,8,8,True
644,2,8,False
645,2,2,True
646,6,6,True
647,1,1,True
648,8,8,True
649,7,8,False
650,5,1,False
651,7,7,True
652,5,3,False
653,8,8,True
654,2,2,True
655,6,6,True
656,8,8,True
657,9,9,True
658,0,9,False
659,3,5,False
660,7,7,True
661,3,5,False
662,3,8,False
663,0,6,False
664,6,6,True
665,0,9,False
666,4,6,False
667,4,4,True
668,3,5,False
669,6,5,False
670,4,4,True
671,1,1,True
672,1,1,True
673,1,1,True
674,9,9,True
675,5,2,False
676,8,1,False
677,2,5,False
678,9,9,True
679,2,2,True
680,0,0,True
681,2,2,True
682,4,6,False
683,3,3,True
684,0,0,True
685,0,0,True
686,8,8,True
687,9,1,False
688,0,0,True
689,8,2,False
690,3,5,False
691,1,1,True
692,5,5,True
693,3,3,True
694,0,6,False
695,4,4,True
696,1,8,False
697,8,4,False
698,3,3,True
699,2,2,True
700,8,8,True
701,8,8,True
702,7,7,True
703,4,4,True
704,6,6,True
705,2,3,False
706,1,6,False
707,4,4,True
708,5,5,True
709,1,1,True
710,3,9,False
711,4,4,True
712,7,7,True
713,3,3,True
714,2,2,True
715,7,7,True
716,2,2,True
717,3,3,True
718,2,2,True
719,5,5,True
720,4,0,False
721,5,5,True
722,6,6,True
723,5,5,True
724,1,1,True
725,4,0,False
726,3,3,True
727,6,6,True
728,4,4,True
729,3,3,True
730,5,3,False
731,0,0,True
732,4,3,False
733,7,5,False
734,0,0,True
735,4,7,False
736,1,1,True
737,9,9,True
738,5,6,False
739,8,8,True
740,7,7,True
741,5,5,True
742,9,9,True
743,8,9,False
744,7,2,False
745,2,2,True
746,8,9,False
747,9,9,True
748,3,3,True
749,5,5,True
750,2,2,True
751,8,8,True
752,9,9,True
753,0,0,True
754,9,9,True
755,1,1,True
756,4,5,False
757,0,0,True
758,9,9,True
759,6,6,True
760,9,1,False
761,5,5,True
762,3,5,False
763,4,4,True
764,7,7,True
765,8,8,True
766,5,5,True
767,9,9,True
768,4,2,False
769,1,1,True
770,4,4,True
771,6,6,True
772,0,0,True
773,7,4,False
774,2,2,True
775,3,5,False
776,5,5,True
777,4,7,False
778,9,9,True
779,4,4,True
780,0,2,False
781,0,0,True
782,3,3,True
783,0,7,False
784,5,4,False
785,0,2,False
786,4,4,True
787,5,5,True
788,0,0,True
789,1,1,True
790,0,7,False
791,5,5,True
792,0,2,False
793,0,0,True
794,4,5,False
795,1,9,False
796,7,7,True
797,8,8,True
798,4,4,True
799,5,4,False
800,1,1,True
801,3,3,True
802,1,1,True
803,6,6,True
804,6,2,False
805,2,2,True
806,6,4,False
807,4,6,False
808,4,4,True
809,9,9,True
810,3,2,False
811,5,5,True
812,6,6,True
813,0,0,True
814,3,3,True
815,6,6,True
816,8,0,False
817,1,1,True
818,3,5,False
819,9,9,True
820,7,7,True
821,7,4,False
822,4,4,True
823,1,1,True
824,2,2,True
825,0,0,True
826,3,6,False
827,7,4,False
828,8,8,True
829,5,5,True
830,8,8,True
831,2,2,True
832,4,4,True
833,8,8,True
834,4,6,False
835,4,6,False
836,4,4,True
837,0,0,True
838,0,2,False
839,4,4,True
840,8,8,True
841,4,5,False
842,0,0,True
843,8,8,True
844,3,5,False
845,2,2,True
846,0,0,True
847,7,7,True
848,4,4,True
849,3,3,True
850,7,2,False
851,7,4,False
852,9,7,False
853,8,8,True
854,8,0,False
855,9,9,True
856,9,4,False
857,0,0,True
858,1,9,False
859,1,9,False
860,3,6,False
861,8,8,True
862,2,5,False
863,2,2,True
864,6,3,False
865,1,9,False
866,4,4,True
867,7,7,True
868,7,3,False
869,3,5,False
870,5,5,True
871,6,6,True
872,0,0,True
873,8,1,False
874,3,5,False
875,6,6,True
876,4,4,True
877,6,6,True
878,8,4,False
879,4,4,True
880,9,9,True
881,2,2,True
882,2,2,True
883,3,5,False
884,5,5,True
885,7,4,False
886,8,8,True
887,2,5,False
888,8,8,True
889,0,0,True
890,7,4,False
891,0,2,False
892,1,2,False
893,5,5,True
894,3,5,False
895,5,5,True
896,1,1,True
897,4,7,False
898,0,0,True
899,0,2,False
900,6,6,True
901,3,3,True
902,0,0,True
903,1,1,True
904,5,5,True
905,5,5,True
906,8,8,True
907,9,1,False
908,2,2,True
909,5,5,True
910,5,5,True
911,5,5,True
912,8,8,True
913,2,2,True
914,1,1,True
915,0,8,False
916,3,3,True
917,0,4,False
918,2,8,False
919,4,4,True
920,6,6,True
921,6,6,True
922,7,4,False
923,3,3,True
924,9,9,True
925,7,7,True
926,8,8,True
927,5,6,False
928,0,0,True
929,8,0,False
930,0,0,True
931,5,5,True
932,2,2,True
933,2,6,False
934,6,6,True
935,9,9,True
936,1,6,False
937,0,2,False
938,9,9,True
939,1,0,False
940,6,6,True
941,9,1,False
942,8,8,True
943,3,5,False
944,8,0,False
945,7,7,True
946,8,8,True
947,8,3,False
948,9,4,False
949,7,7,True
950,8,8,True
951,4,4,True
952,1,1,True
953,6,0,False
954,5,5,True
955,4,5,False
956,8,8,True
957,3,6,False
958,0,0,True
959,8,8,True
960,7,7,True
961,6,6,True
962,6,3,False
963,5,3,False
964,2,4,False
965,8,8,True
966,6,6,True
967,7,3,False
968,4,4,True
969,1,1,True
970,9,9,True
971,6,6,True
972,0,1,False
973,2,2,True
974,1,1,True
975,3,5,False
976,0,0,True
977,0,6,False
978,1,1,True
979,4,4,True
980,1,1,True
981,1,1,True
982,6,6,True
983,0,1,False
984,3,2,False
985,5,6,False
986,0,0,True
987,5,3,False
988,6,6,True
989,5,3,False
990,9,1,False
991,4,9,False
992,1,1,True
993,4,3,False
994,9,9,True
995,8,9,False
996,5,5,True
997,4,4,True
998,9,9,True
999,3,5,False
1000,6,6,True
1001,0,6,False
1002,9,1,False
1003,7,7,True
1004,7,4,False
1005,8,8,True
1006,0,8,False
1007,8,8,True
1008,9,9,True
1009,5,2,False
1010,1,1,True
1011,3,6,False
1012,8,8,True
1013,4,7,False
1014,6,6,True
1015,8,8,True
1016,0,0,True
1017,3,6,False
1018,1,9,False
1019,3,6,False
1020,3,5,False
1021,2,2,True
1022,7,4,False
1023,7,1,False
1024,2,2,True
1025,1,0,False
1026,8,0,False
1027,8,8,True
1028,6,6,True
1029,9,3,False
1030,3,2,False
1031,4,5,False
1032,6,6,True
1033,4,4,True
1034,6,6,True
1035,2,6,False
1036,8,8,True
1037,3,5,False
1038,4,4,True
1039,0,4,False
1040,1,8,False
1041,1,1,True
1042,5,5,True
1043,5,5,True
1044,0,0,True
1045,3,2,False
1046,4,6,False
1047,4,4,True
1048,4,4,True
1049,9,9,True
1050,1,1,True
1051,7,6,False
1052,8,8,True
1053,4,4,True
1054,7,3,False
1055,4,7,False
1056,4,7,False
1057,0,0,True
1058,5,2,False
1059,9,9,True
1060,8,8,True
1061,7,4,False
1062,8,5,False
1063,8,8,True
1064,4,7,False
1065,5,5,True
1066,2,6,False
1067,9,9,True
1068,8,0,False
1069,9,9,True
1070,0,5,False
1071,6,6,True
1072,1,9,False
1073,0,8,False
1074,4,4,True
1075,0,0,True
1076,6,6,True
1077,4,4,True
1078,6,6,True
1079,5,5,True
1080,3,5,False
1081,0,0,True
1082,9,9,True
1083,2,5,False
1084,6,6,True
1085,4,3,False
1086,2,2,True
1087,3,3,True
1088,7,4,False
1089,7,7,True
1090,3,4,False
1091,5,5,True
1092,0,7,False
1093,9,9,True
1094,6,6,True
1095,4,4,True
1096,2,2,True
1097,5,5,True
1098,5,5,True
1099,9,9,True
1100,9,1,False
1101,0,8,False
1102,2,2,True
1103,7,6,False
1104,5,6,False
1105,0,0,True
1106,1,9,False
1107,9,9,True
1108,7,7,True
1109,7,7,True
1110,1,9,False
1111,2,2,True
1112,7,7,True
1113,2,5,False
1114,0,0,True
1115,4,0,False
1116,7,7,True
1117,8,8,True
1118,2,2,True
1119,2,2,True
1120,8,8,True
1121,2,4,False
1122,0,0,True
1123,7,7,True
1124,5,3,False
1125,3,4,False
1126,5,5,True
1127,6,6,True
1128,1,1,True
1129,6,6,True
1130,9,1,False
1131,6,6,True
1132,0,0,True
1133,8,8,True
1134,4,4,True
1135,2,6,False
1136,6,6,True
1137,8,8,True
1138,3,3,True
1139,5,5,True
1140,1,1,True
1141,4,6,False
1142,4,5,False
1143,2,2,True
1144,1,1,True
1145,7,2,False
1146,7,5,False
1147,1,1,True
1148,0,2,False
1149,9,9,True
1150,5,5,True
1151,2,0,False
1152,4,4,True
1153,4,7,False
1154,8,0,False
1155,6,6,True
1156,3,6,False
1157,3,2,False
1158,7,7,True
1159,0,0,True
1160,5,3,False
1161,4,4,True
1162,8,8,True
1163,4,4,True
1164,1,1,True
1165,6,6,True
1166,8,8,True
1167,1,1,True
1168,7,7,True
1169,3,3,True
1170,9,1,False
1171,7,7,True
1172,8,8,True
1173,3,5,False
1174,9,9,True
1175,3,6,False
1176,1,1,True
1177,5,5,True
1178,7,7,True
1179,4,4,True
1180,2,2,True
1181,8,8,True
1182,6,6,True
1183,8,8,True
1184,3,3,True
1185,3,6,False
1186,4,4,True
1187,7,7,True
1188,7,7,True
1189,7,7,True
1190,8,8,True
1191,3,6,False
1192,4,2,False
1193,1,1,True
1194,0,0,True
1195,3,3,True
1196,3,0,False
1197,3,6,False
1198,5,5,True
1199,7,7,True
1200,1,1,True
1201,0,0,True
1202,8,3,False
1203,9,9,True
1204,4,2,False
1205,3,6,False
1206,5,5,True
1207,2,4,False
1208,5,4,False
1209,5,5,True
1210,5,7,False
1211,2,0,False
1212,6,6,True
1213,5,5,True
1214,5,5,True
1215,8,8,True
1216,0,0,True
1217,4,4,True
1218,3,6,False
1219,0,0,True
1220,9,9,True
1221,7,7,True
1222,1,1,True
1223,7,7,True
1224,2,4,False
1225,6,4,False
1226,0,8,False
1227,5,4,False
1228,2,2,True
1229,4,4,True
1230,4,2,False
1231,9,9,True
1232,7,7,True
1233,2,2,True
1234,6,6,True
1235,9,9,True
1236,2,2,True
1237,7,7,True
1238,1,1,True
1239,3,3,True
1240,4,4,True
1241,0,0,True
1242,6,3,False
1243,1,1,True
1244,9,3,False
1245,3,5,False
1246,4,4,True
1247,4,2,False
1248,4,4,True
1249,4,5,False
1250,3,5,False
1251,7,7,True
1252,2,2,True
1253,7,7,True
1254,1,8,False
1255,4,5,False
1256,8,1,False
1257,4,3,False
1258,7,5,False
1259,6,6,True
1260,9,8,False
1261,9,9,True
1262,0,0,True
1263,7,3,False
1264,5,5,True
1265,4,4,True
1266,9,9,True
1267,7,7,True
1268,7,0,False
1269,3,3,True
1270,3,2,False
1271,9,9,True
1272,4,4,True
1273,0,2,False
1274,2,2,True
1275,7,7,True
1276,2,2,True
1277,2,5,False
1278,4,4,True
1279,8,8,True
1280,1,6,False
1281,1,1,True
1282,2,4,False
1283,2,0,False
1284,9,1,False
1285,1,1,True
1286,9,9,True
1287,7,7,True
1288,4,4,True
1289,4,7,False
1290,3,5,False
1291,0,0,True
1292,8,6,False
1293,7,4,False
1294,1,1,True
1295,2,2,True
1296,2,6,False
1297,3,3,True
1298,0,0,True
1299,9,9,True
1300,9,9,True
1301,4,5,False
1302,6,6,True
1303,5,5,True
1304,1,1,True
1305,6,4,False
1306,6,6,True
1307,5,5,True
1308,3,2,False
1309,3,5,False
1310,8,8,True
1311,3,3,True
1312,3,3,True
1313,3,3,True
1314,2,2,True
1315,3,6,False
1316,4,4,True
1317,3,5,False
1318,0,5,False
1319,2,2,True
1320,7,7,True
1321,8,3,False
1322,4,7,False
1323,9,9,True
1324,2,6,False
1325,3,5,False
1326,3,3,True
1327,2,2,True
1328,4,3,False
1329,5,4,False
1330,7,7,True
1331,6,6,True
1332,4,0,False
1333,5,0,False
1334,9,9,True
1335,3,3,True
1336,9,1,False
1337,2,6,False
1338,3,3,True
1339,8,2,False
1340,7,7,True
1341,4,4,True
1342,9,9,True
1343,2,4,False
1344,2,2,True
1345,1,1,True
1346,1,0,False
1347,4,4,True
1348,3,3,True
1349,9,8,False
1350,6,6,True
1351,2,6,False
1352,4,4,True
1353,1,1,True
1354,0,0,True
1355,9,4,False
1356,1,2,False
1357,3,5,False
1358,1,9,False
1359,8,8,True
1360,7,7,True
1361,0,2,False
1362,1,1,True
1363,5,2,False
1364,2,7,False
1365,7,7,True
1366,7,7,True
1367,5,5,True
1368,1,8,False
1369,1,1,True
1370,0,0,True
1371,8,8,True
1372,8,8,True
1373,1,9,False
1374,1,2,False
1375,8,8,True
1376,6,2,False
1377,9,9,True
1378,7,4,False
1379,6,6,True
1380,7,9,False
1381,2,2,True
1382,3,3,True
1383,3,3,True
1384,9,1,False
1385,7,3,False
1386,1,1,True
1387,6,6,True
1388,1,1,True
1389,1,1,True
1390,7,7,True
1391,7,4,False
1392,4,4,True
1393,7,3,False
1394,1,1,True
1395,2,5,False
1396,7,7,True
1397,1,9,False
1398,5,5,True
1399,8,3,False
1400,1,1,True
1401,6,5,False
1402,7,6,False
1403,1,1,True
1404,1,9,False
1405,8,0,False
1406,3,3,True
1407,2,2,True
1408,6,6,True
1409,1,1,True
1410,6,4,False
1411,1,1,True
1412,3,2,False
1413,2,3,False
1414,5,5,True
1415,6,4,False
1416,1,1,True
1417,1,9,False
1418,8,8,True
1419,8,8,True
1420,5,4,False
1421,4,4,True
1422,7,3,False
1423,6,6,True
1424,4,3,False
1425,3,3,True
1426,8,8,True
1427,9,9,True
1428,6,8,False
1429,7,7,True
1430,8,8,True
1431,0,9,False
1432,8,5,False
1433,4,4,True
1434,7,7,True
1435,5,3,False
1436,6,6,True
1437,4,4,True
1438,5,5,True
1439,8,0,False
1440,6,4,False
1441,5,3,False
1442,2,2,True
1443,0,9,False
1444,1,1,True
1445,0,1,False
1446,8,8,True
1447,4,5,False
1448,7,7,True
1449,5,5,True
1450,8,6,False
1451,9,9,True
1452,5,5,True
1453,3,6,False
1454,3,3,True
1455,6,6,True
1456,2,2,True
1457,1,1,True
1458,3,5,False
1459,8,8,True
1460,9,9,True
1461,8,8,True
1462,9,9,True
1463,6,6,True
1464,7,4,False
1465,7,4,False
1466,1,1,True
1467,7,7,True
1468,5,5,True
1469,9,9,True
1470,0,0,True
1471,1,9,False
1472,8,0,False
1473,5,5,True
1474,8,8,True
1475,1,0,False
1476,0,8,False
1477,9,9,True
1478,6,6,True
1479,6,1,False
1480,1,1,True
1481,1,1,True
1482,6,6,True
1483,5,6,False
1484,8,8,True
1485,3,3,True
1486,4,4,True
1487,4,4,True
1488,2,4,False
1489,0,6,False
1490,2,3,False
1491,0,2,False
1492,3,3,True
1493,4,4,True
1494,3,5,False
1495,0,0,True
1496,7,7,True
1497,6,6,True
1498,9,9,True
1499,2,5,False
1500,0,0,True
1501,3,5,False
1502,4,4,True
1503,9,9,True
1504,2,5,False
1505,4,6,False
1506,3,8,False
1507,9,9,True
1508,6,6,True
1509,6,6,True
1510,4,5,False
1511,2,2,True
1512,3,3,True
1513,9,8,False
1514,9,9,True
1515,4,4,True
1516,1,1,True
1517,0,8,False
1518,8,8,True
1519,0,0,True
1520,5,5,True
1521,9,5,False
1522,0,2,False
1523,6,6,True
1524,9,9,True
1525,6,6,True
1526,6,6,True
1527,3,9,False
1528,3,5,False
1529,1,1,True
1530,3,3,True
1531,0,0,True
1532,0,0,True
1533,3,4,False
1534,1,1,True
1535,0,3,False
1536,3,5,False
1537,4,5,False
1538,0,0,True
1539,3,2,False
1540,1,1,True
1541,0,2,False
1542,7,5,False
1543,2,4,False
1544,6,6,True
1545,2,2,True
1546,4,4,True
1547,5,5,True
1548,3,5,False
1549,2,6,False
1550,1,1,True
1551,5,6,False
1552,7,7,True
1553,7,4,False
1554,7,4,False
1555,1,9,False
1556,0,0,True
1557,6,6,True
1558,6,6,True
1559,4,4,True
1560,2,2,True
1561,9,9,True
1562,0,0,True
1563,3,5,False
1564,7,7,True
1565,8,8,True
1566,5,5,True
1567,9,9,True
1568,8,0,False
1569,8,0,False
1570,5,3,False
1571,8,8,True
1572,9,0,False
1573,6,5,False
1574,4,5,False
1575,1,0,False
1576,3,3,True
1577,1,1,True
1578,0,0,True
1579,2,5,False
1580,1,1,True
1581,9,9,True
1582,3,5,False
1583,7,7,True
1584,6,6,True
1585,3,3,True
1586,0,8,False
1587,3,5,False
1588,0,0,True
1589,5,3,False
1590,5,5,True
1591,0,0,True
1592,8,8,True
1593,9,0,False
1594,7,7,True
1595,4,4,True
1596,6,6,True
1597,6,6,True
1598,7,4,False
1599,7,5,False
1600,2,4,False
1601,2,4,False
1602,4,5,False
1603,2,2,True
1604,0,0,True
1605,2,2,True
1606,1,8,False
1607,4,5,False
1608,2,3,False
1609,0,0,True
1610,0,0,True
1611,7,7,True
1612,5,5,True
1613,3,3,True
1614,6,6,True
1615,0,0,True
1616,3,6,False
1617,3,3,True
1618,5,5,True
1619,7,4,False
1620,8,8,True
1621,1,4,False
1622,7,7,True
1623,2,0,False
1624,6,6,True
1625,6,6,True
1626,7,7,True
1627,0,0,True
1628,0,0,True
1629,0,0,True
1630,3,6,False
1631,1,1,True
1632,8,8,True
1633,6,6,True
1634,3,3,True
1635,9,9,True
1636,2,2,True
1637,8,1,False
1638,6,6,True
1639,5,5,True
1640,8,8,True
1641,4,4,True
1642,8,8,True
1643,7,7,True
1644,1,1,True
1645,1,1,True
1646,0,0,True
1647,7,7,True
1648,8,8,True
1649,8,8,True
1650,4,2,False
1651,0,0,True
1652,0,0,True
1653,2,4,False
1654,1,1,True
1655,9,1,False
1656,8,0,False
1657,8,8,True
1658,1,1,True
1659,6,6,True
1660,4,2,False
1661,0,6,False
1662,4,5,False
1663,7,7,True
